country_name,area_wf,coastline_wf,coast_to_area_wf,iso_code
Afghanistan,652230.0,0.0,0.0,AFG
Albania,28748.0,362.0,1.2592180325587867,ALB
Algeria,2381740.0,998.0,0.04190213877249406,DZA
American Samoa,224.0,116.0,51.78571428571429,ASM
Andorra,468.0,0.0,0.0,AND
Angola,1246700.0,1600.0,0.12833881447020132,AGO
Anguilla,91.0,61.0,67.03296703296702,AIA
Antigua and Barbuda,442.6,153.0,34.56845910528694,ATG
Argentina,2780400.0,4989.0,0.17943461372464392,ARG
Armenia,29743.0,0.0,0.0,ARM
Aruba,180.0,68.5,38.05555555555556,ABW
Australia,7741220.0,25760.0,0.3327640862809738,AUS
Austria,83871.0,0.0,0.0,AUT
Azerbaijan,86600.0,0.0,0.0,AZE
Bahamas,13880.0,3542.0,25.51873198847262,BHS
Bahrain,760.0,161.0,21.184210526315788,BHR
Bangladesh,148460.0,580.0,0.3906776236023171,BGD
Barbados,430.0,97.0,22.55813953488372,BRB
Belarus,207600.0,0.0,0.0,BLR
Belgium,30528.0,66.5,0.21783280922431864,BEL
Belize,22966.0,386.0,1.6807454497953498,BLZ
Benin,112622.0,121.0,0.10743904388130206,BEN
Bermuda,54.0,103.0,190.74074074074073,BMU
Bhutan,38394.0,0.0,0.0,BTN
Bolivia,1098581.0,0.0,0.0,BOL
Bosnia and Herzegovina,51197.0,20.0,0.03906478895247768,BIH
Botswana,581730.0,0.0,0.0,BWA
Brazil,8515770.0,7491.0,0.08796620857538426,BRA
British Virgin Islands,151.0,80.0,52.980132450331126,VGB
Brunei,5765.0,161.0,2.7927146574154382,BRN
Bulgaria,110879.0,354.0,0.31926694865574184,BGR
Burkina Faso,274200.0,0.0,0.0,BFA
Burma,676578.0,1930.0,0.28525905364939447,MMR
Burundi,27830.0,0.0,0.0,BDI
Cambodia,181035.0,443.0,0.2447040627502969,KHM
Cameroon,475440.0,402.0,0.08455325593134781,CMR
Canada,9984670.0,202080.0,2.023902642751338,CAN
Cape Verde,4033.0,965.0,23.927597322092737,CPV
Cayman Islands,264.0,160.0,60.60606060606061,CYM
Central African Republic,622984.0,0.0,0.0,CAF
Chad,1284000.0,0.0,0.0,TCD
Chile,756102.0,6435.0,0.8510756485236118,CHL
China,9596960.0,14500.0,0.15108951167869825,CHN
Christmas Island,135.0,138.9,102.8888888888889,CXR
Cocos  Islands,14.0,26.0,185.71428571428572,CCK
Colombia,1138910.0,3208.0,0.2816728275280751,COL
Comoros,2235.0,340.0,15.212527964205815,COM
Democratic Republic of the Congo,2344858.0,37.0,0.0015779207099107918,COD
Republic of the Congo,342000.0,169.0,0.04941520467836258,COG
Cook Islands,236.0,120.0,50.847457627118644,COK
Costa Rica,51100.0,1290.0,2.524461839530333,CRI
Cote d'Ivoire,322463.0,515.0,0.15970824559716928,CIV
Croatia,56594.0,5835.0,10.310280241721738,HRV
Cuba,110860.0,3735.0,3.3691141980876784,CUB
Cyprus,9251.0,648.0,7.004648146146362,CYP
Czech Republic,78867.0,0.0,0.0,CZE
Denmark,43094.0,7314.0,16.97220030630714,DNK
Djibouti,23200.0,314.0,1.353448275862069,DJI
Dominica,751.0,148.0,19.70705725699068,DMA
Dominican Republic,48670.0,1288.0,2.6463940825970824,DOM
East Timor,14874.0,706.0,4.746537582358478,TLS
Ecuador,283561.0,2237.0,0.7888955110187932,ECU
Egypt,1001450.0,2450.0,0.24464526436666834,EGY
El Salvador,21041.0,307.0,1.4590561285110022,SLV
Equatorial Guinea,28051.0,296.0,1.0552208477416134,GNQ
Eritrea,117600.0,2234.0,1.8996598639455784,ERI
Estonia,45228.0,3794.0,8.388608826390731,EST
Ethiopia,1104300.0,0.0,0.0,ETH
Falkland Islands,12173.0,1288.0,10.580793559516964,FLK
Faroe Islands,1393.0,1117.0,80.18664752333095,FRO
Fiji,18274.0,1129.0,6.178176644412827,FJI
Finland,338145.0,1250.0,0.36966390158068285,FIN
France,643801.0,3427.0,0.5323073434182302,FRA
French Guiana,91000.0,378.0,0.41538461538461535,GUF
French Polynesia,4167.0,2525.0,60.59515238780897,PYF
Gabon,267667.0,885.0,0.330634706557028,GAB
Gambia,11300.0,80.0,0.7079646017699115,GMB
Gaza Strip,360.0,40.0,11.11111111111111,WBG
Georgia,69700.0,310.0,0.44476327116212344,GEO
Germany,357022.0,2389.0,0.66914643915501,DEU
Ghana,238533.0,539.0,0.2259645415938256,GHA
Gibraltar,6.5,12.0,184.6153846153846,GIB
Greece,131957.0,13676.0,10.363982206324787,GRC
Greenland,2166086.0,44087.0,2.0353300838470862,GRL
Grenada,344.0,121.0,35.174418604651166,GRD
Guadeloupe,1780.0,306.0,17.191011235955056,GLP
Guam,544.0,125.5,23.06985294117647,GUM
Guatemala,108889.0,400.0,0.36734656393207765,GTM
Guernsey,78.0,50.0,64.1025641025641,GGY
Guinea,245857.0,320.0,0.1301569611603493,GIN
Guinea-Bissau,36125.0,350.0,0.9688581314878892,GNB
Guyana,214969.0,459.0,0.21351915857635287,GUY
Haiti,27750.0,1771.0,6.3819819819819825,HTI
Honduras,112090.0,820.0,0.7315550004460701,HND
Hong Kong,1108.0,733.0,66.15523465703971,HKG
Hungary,93028.0,0.0,0.0,HUN
Iceland,103000.0,4970.0,4.825242718446602,ISL
India,3287263.0,7000.0,0.21294310798983837,IND
Indonesia,1904569.0,54716.0,2.872880951018314,IDN
Iran,1648195.0,2440.0,0.14804073547122762,IRN
Iraq,438317.0,58.0,0.013232432235117506,IRQ
Ireland,70273.0,1448.0,2.0605353407425326,IRL
Isle of Man,572.0,160.0,27.972027972027973,IMN
Israel,21937.0,273.0,1.2444728084970598,ISR
Italy,301340.0,7600.0,2.5220680958385877,ITA
Jamaica,10991.0,1022.0,9.298516968428714,JAM
Japan,377915.0,29751.0,7.872405170474842,JPN
Jersey,116.0,70.0,60.3448275862069,JEY
Jordan,89342.0,26.0,0.02910165431711849,JOR
Kazakhstan,2724900.0,0.0,0.0,KAZ
Kenya,580367.0,536.0,0.09235535445674892,KEN
Kiribati,811.0,1143.0,140.9371146732429,KIR
North Korea,120538.0,2495.0,2.0698866747415754,PRK
South Korea,99720.0,2413.0,2.419775371038909,KOR
Kuwait,17818.0,195.0,1.0931635388739947,KWT
Kyrgyzstan,198500.0,0.0,0.0,KGZ
Laos,236800.0,0.0,0.0,LAO
Latvia,64589.0,498.0,0.7709865378414587,LVA
Lebanon,10400.0,225.0,2.1634615384615383,LBN
Lesotho,30355.0,0.0,0.0,LSO
Liberia,111370.0,579.0,0.5197063477888795,LBR
Libya,1759540.0,1770.0,0.10058291457286433,LBY
Liechtenstein,160.0,0.0,0.0,LIE
Lithuania,65300.0,90.0,0.13776299376299376,LTU
Luxembourg,2586.0,0.0,0.0,LUX
Macau,28.2,0.0,0.0,MAC
Macedonia,25713.0,0.0,0.0,MKD
Madagascar,587041.0,4828.0,0.8223142501005782,MDG
Malawi,118484.0,0.0,0.0,MWI
Malaysia,329758.0,4675.0,1.416972214703037,MYS
Maldives,298.0,644.0,215.43624161073825,MDV
Malta,316.0,196.0,61.77215189873417,MLT
Marshall Islands,181.0,370.4,204.64088397790056,MHL
Martinique,1100.0,350.0,31.818181818181817,MTQ
Mauritania,1030700.0,754.0,0.07315416707092268,MRT
Mauritius,2040.0,177.0,8.676470588235293,MUS
Mayotte,374.0,185.2,49.518716577540104,MYT
Mexico,1964375.0,9330.0,0.4749602290804964,MEX
Micronesia,702.0,6112.0,870.6552706552707,FSM
Moldova,33851.0,0.0,0.0,MDA
Monaco,2.0,4.1,204.99999999999997,MCO
Mongolia,1564116.0,0.0,0.0,MNG
Montenegro,13812.0,293.5,2.124963799594555,MNE
Montserrat,102.0,40.0,39.21568627450981,MSR
Morocco,446550.0,1835.0,0.410928227522114,MAR
Mozambique,799380.0,2470.0,0.3089894668367985,MOZ
Namibia,824292.0,1572.0,0.19070911764277707,NAM
Nauru,21.0,30.0,142.85714285714286,NRU
Nepal,147181.0,0.0,0.0,NPL
Netherlands,41543.0,451.0,1.085622126471367,NLD
Netherlands Antilles,960.0,364.0,37.916666666666664,ANT
New Caledonia,18575.0,2254.0,12.134589502018843,NCL
New Zealand,268838.0,15134.0,5.629412508648331,NZL
Nicaragua,130370.0,910.0,0.6980133466288256,NIC
Niger,1267000.0,0.0,0.0,NER
Nigeria,923768.0,853.0,0.09233920205073134,NGA
Niue,260.0,64.0,24.615384615384617,NIU
Norfolk Island,36.0,32.0,88.88888888888889,NFK
Northern Mariana Islands,464.0,1482.0,319.39655172413796,MNP
Norway,323802.0,25148.0,7.7664745739680425,NOR
Oman,309500.0,2092.0,0.6759289176090468,OMN
Pakistan,796095.0,1046.0,0.13139135404694163,PAK
Palau,459.0,1519.0,330.9368191721133,PLW
Panama,75420.0,2490.0,3.30151153540175,PAN
Papua New Guinea,462840.0,5152.0,1.1131276467029643,PNG
Paraguay,406752.0,0.0,0.0,PRY
Peru,1285216.0,2414.0,0.18782834947588578,PER
Philippines,300000.0,36289.0,12.096333333333334,PHL
Poland,312685.0,491.0,0.15702703999232454,POL
Portugal,92090.0,1793.0,1.947008361385601,PRT
Puerto Rico,9104.0,501.0,5.503075571177504,PRI
Qatar,11586.0,563.0,4.859312963921974,QAT
Reunion,2517.0,207.0,8.224076281287248,REU
Romania,238391.0,225.0,0.09438275773833743,ROU
Russia,17098242.0,37653.0,0.22021562216747195,RUS
Rwanda,26338.0,0.0,0.0,RWA
Saint Helena,394.0,60.0,15.228426395939088,SHN
Saint Kitts and Nevis,261.0,135.0,51.724137931034484,KNA
Saint Lucia,616.0,158.0,25.649350649350648,LCA
Saint Pierre and Miquelon,242.0,120.0,49.586776859504134,SPM
Saint Vincent and the Grenadines,389.0,84.0,21.59383033419023,VCT
Samoa,2831.0,403.0,14.235252560932532,WSM
San Marino,61.0,0.0,0.0,SMR
Sao Tome and Principe,964.0,209.0,21.680497925311204,STP
Saudi Arabia,2149690.0,2640.0,0.12280840493280427,SAU
Senegal,196722.0,531.0,0.2699240552658066,SEN
Serbia,77474.0,0.0,0.0,SRB
Seychelles,455.0,491.0,107.91208791208791,SYC
Sierra Leone,71740.0,402.0,0.5603568441594647,SLE
Singapore,719.2,193.0,26.835372636262512,SGP
Slovakia,49035.0,0.0,0.0,SVK
Slovenia,20273.0,46.6,0.22986237853302424,SVN
Solomon Islands,28896.0,5313.0,18.386627906976745,SLB
Somalia,637657.0,3025.0,0.4743929730246826,SOM
South Africa,1219090.0,2798.0,0.2295154582516467,ZAF
Spain,505370.0,4964.0,0.9822506282525675,ESP
Sri Lanka,65610.0,1340.0,2.0423715896966925,LKA
Sudan,1861484.0,853.0,0.04582365467551695,SDN
Suriname,163820.0,386.0,0.23562446587718228,SUR
Svalbard,62045.0,3587.0,5.781287775002015,SJM
Swaziland,17364.0,0.0,0.0,SWZ
Sweden,450295.0,3218.0,0.7146426231692558,SWE
Switzerland,41277.0,0.0,0.0,CHE
Syria,187437.0,193.0,0.10296793055800083,SYR
Taiwan,35980.0,1566.3,4.3532518065592,TWN
Tajikistan,144100.0,0.0,0.0,TJK
Tanzania,947300.0,1424.0,0.15032196769766706,TZA
Thailand,513120.0,3219.0,0.6273386342376053,THA
Togo,56785.0,56.0,0.09861759267412169,TGO
Tokelau,12.0,101.0,841.6666666666666,TKL
Tonga,747.0,419.0,56.09103078982597,TON
Trinidad and Tobago,5128.0,362.0,7.059282371294852,TTO
Tunisia,163610.0,1148.0,0.701668602163682,TUN
Turkey,783562.0,7200.0,0.9188807012080729,TUR
Turkmenistan,488100.0,0.0,0.0,TKM
Turks and Caicos Islands,948.0,389.0,41.0337552742616,TCA
Tuvalu,26.0,24.0,92.3076923076923,TUV
Uganda,241038.0,0.0,0.0,UGA
Ukraine,603550.0,2782.0,0.4609394416369812,UKR
United Arab Emirates,83600.0,1318.0,1.5765550239234452,ARE
United Kingdom,243610.0,12429.0,5.1020073067608065,GBR
United States,9833517.0,19924.0,0.20261316475071942,USA
Uruguay,176215.0,660.0,0.3745424623329456,URY
Uzbekistan,447400.0,0.0,0.0,UZB
Vanuatu,12189.0,2528.0,20.740011485765855,VUT
Venezuela,912050.0,2800.0,0.3070007126802259,VEN
Vietnam,331210.0,3444.0,1.039823676821352,VNM
Virgin Islands,1910.0,188.0,9.842931937172775,VIR
Wallis and Futuna,142.0,129.0,90.84507042253522,WLF
West Bank,5860.0,0.0,0.0,WBG
Western Sahara,266000.0,1110.0,0.41729323308270677,ESH
Yemen,527968.0,1906.0,0.3610067276804655,YEM
Zambia,752614.0,0.0,0.0,ZMB
Zimbabwe,390580.0,716.0,0.18325193743124666,ZWE